11.04.2026 08:49:14 | ERROR    | processor                 | Error processing CABR [1D]: Source file not found: /app/data/parquet/CABR/1D.parquet
11.04.2026 08:49:14 | ERROR    | processor                 | Error processing DMYY [1D]: Source file not found: /app/data/parquet/DMYY/1D.parquet
11.04.2026 08:49:14 | ERROR    | processor                 | Error processing SWSS [1D]: Source file not found: /app/data/parquet/SWSS/1D.parquet
11.04.2026 08:49:15 | ERROR    | processor                 | Error processing LYTHF [1D]: Source file not found: /app/data/parquet/LYTHF/1D.parquet
11.04.2026 08:49:15 | ERROR    | processor                 | Error processing IRAB.U [1D]: Source file not found: /app/data/parquet/IRAB.U/1D.parquet
11.04.2026 08:49:15 | ERROR    | processor                 | Error processing HEPA [1D]: Source file not found: /app/data/parquet/HEPA/1D.parquet
11.04.2026 08:49:15 | ERROR    | processor                 | Error processing AUGO [1D]: Source file not found: /app/data/parquet/AUGO/1D.parquet
11.04.2026 08:49:15 | ERROR    | processor                 | Error processing IEADDD [1D]: Source file not found: /app/data/parquet/IEADDD/1D.parquet
11.04.2026 08:49:15 | ERROR    | processor                 | Error processing IVCPU [1D]: Source file not found: /app/data/parquet/IVCPU/1D.parquet
11.04.2026 08:49:15 | ERROR    | processor                 | Error processing FAAS [1D]: Source file not found: /app/data/parquet/FAAS/1D.parquet
11.04.2026 08:49:15 | ERROR    | processor                 | Error processing AIFEU [1D]: Source file not found: /app/data/parquet/AIFEU/1D.parquet
11.04.2026 08:49:15 | ERROR    | processor                 | Error processing MODV [1D]: Source file not found: /app/data/parquet/MODV/1D.parquet
11.04.2026 08:49:16 | ERROR    | processor                 | Error processing USBCC.D [1D]: Source file not found: /app/data/parquet/USBCC.D/1D.parquet
11.04.2026 08:49:16 | ERROR    | processor                 | Error processing VDNT [1D]: Source file not found: /app/data/parquet/VDNT/1D.parquet
11.04.2026 08:49:16 | ERROR    | processor                 | Error processing WHLM [1D]: Source file not found: /app/data/parquet/WHLM/1D.parquet
11.04.2026 08:49:16 | ERROR    | processor                 | Error processing EMWP [1D]: Source file not found: /app/data/parquet/EMWP/1D.parquet
11.04.2026 08:49:17 | ERROR    | processor                 | Error processing PICC.U [1D]: Source file not found: /app/data/parquet/PICC.U/1D.parquet
11.04.2026 08:49:17 | ERROR    | processor                 | Error processing CTST [1D]: Source file not found: /app/data/parquet/CTST/1D.parquet
11.04.2026 08:49:17 | ERROR    | processor                 | Error processing RAAS [1D]: Source file not found: /app/data/parquet/RAAS/1D.parquet
11.04.2026 08:49:17 | ERROR    | processor                 | Error processing APCX [1D]: Source file not found: /app/data/parquet/APCX/1D.parquet
11.04.2026 08:49:17 | ERROR    | processor                 | Error processing DXST [1D]: Source file not found: /app/data/parquet/DXST/1D.parquet
11.04.2026 08:49:17 | ERROR    | processor                 | Error processing DDMX [1D]: Source file not found: /app/data/parquet/DDMX/1D.parquet
11.04.2026 08:49:17 | ERROR    | processor                 | Error processing CRACU [1D]: Source file not found: /app/data/parquet/CRACU/1D.parquet
11.04.2026 08:49:18 | ERROR    | processor                 | Error processing VIH [1D]: Source file not found: /app/data/parquet/VIH/1D.parquet
11.04.2026 08:49:18 | ERROR    | processor                 | Error processing XBITV [1D]: Source file not found: /app/data/parquet/XBITV/1D.parquet
11.04.2026 08:49:18 | ERROR    | processor                 | Error processing ORPHA [1D]: Source file not found: /app/data/parquet/ORPHA/1D.parquet
11.04.2026 08:49:18 | ERROR    | processor                 | Error processing TWNI.U [1D]: Source file not found: /app/data/parquet/TWNI.U/1D.parquet
11.04.2026 08:49:18 | ERROR    | processor                 | Error processing HHR [1D]: Source file not found: /app/data/parquet/HHR/1D.parquet
11.04.2026 08:49:18 | ERROR    | processor                 | Error processing ANEB [1D]: Source file not found: /app/data/parquet/ANEB/1D.parquet
11.04.2026 08:49:18 | ERROR    | processor                 | Error processing PRVB [1D]: Source file not found: /app/data/parquet/PRVB/1D.parquet
11.04.2026 08:49:18 | ERROR    | processor                 | Error processing YSAC.U [1D]: Source file not found: /app/data/parquet/YSAC.U/1D.parquet
11.04.2026 08:49:18 | ERROR    | processor                 | Error processing KCAC.U [1D]: Source file not found: /app/data/parquet/KCAC.U/1D.parquet
11.04.2026 08:49:19 | ERROR    | processor                 | Error processing AXH [1D]: Source file not found: /app/data/parquet/AXH/1D.parquet
11.04.2026 08:49:19 | ERROR    | processor                 | Error processing AMBQ [1D]: Source file not found: /app/data/parquet/AMBQ/1D.parquet
11.04.2026 08:49:19 | ERROR    | processor                 | Error processing AEC [1D]: Source file not found: /app/data/parquet/AEC/1D.parquet
11.04.2026 08:49:19 | ERROR    | processor                 | Error processing CSLT [1D]: Source file not found: /app/data/parquet/CSLT/1D.parquet
11.04.2026 08:49:19 | ERROR    | processor                 | Error processing FRBNU [1D]: Source file not found: /app/data/parquet/FRBNU/1D.parquet
11.04.2026 08:49:19 | ERROR    | processor                 | Error processing BIO.B [1D]: Source file not found: /app/data/parquet/BIO.B/1D.parquet
11.04.2026 08:49:19 | ERROR    | processor                 | Error processing MTAL.U [1D]: Source file not found: /app/data/parquet/MTAL.U/1D.parquet
11.04.2026 08:49:19 | ERROR    | processor                 | Error processing BRD.U [1D]: Source file not found: /app/data/parquet/BRD.U/1D.parquet
11.04.2026 08:49:19 | ERROR    | processor                 | Error processing SNOW [1D]: Source file not found: /app/data/parquet/SNOW/1D.parquet
11.04.2026 08:49:20 | ERROR    | processor                 | Error processing RIBT [1D]: Source file not found: /app/data/parquet/RIBT/1D.parquet
11.04.2026 08:49:20 | ERROR    | processor                 | Error processing CTRMV [1D]: Source file not found: /app/data/parquet/CTRMV/1D.parquet
11.04.2026 08:49:20 | ERROR    | processor                 | Error processing RELV [1D]: Source file not found: /app/data/parquet/RELV/1D.parquet
11.04.2026 08:49:20 | ERROR    | processor                 | Error processing PUCKU [1D]: Source file not found: /app/data/parquet/PUCKU/1D.parquet
11.04.2026 08:49:20 | ERROR    | processor                 | Error processing VINO [1D]: Source file not found: /app/data/parquet/VINO/1D.parquet
11.04.2026 08:49:20 | ERROR    | processor                 | Error processing SWCH [1D]: Source file not found: /app/data/parquet/SWCH/1D.parquet
11.04.2026 08:49:20 | ERROR    | processor                 | Error processing NPAB [1D]: Source file not found: /app/data/parquet/NPAB/1D.parquet
11.04.2026 08:49:20 | ERROR    | processor                 | Error processing BTQ [1D]: Source file not found: /app/data/parquet/BTQ/1D.parquet
11.04.2026 08:49:20 | ERROR    | processor                 | Error processing VISL [1D]: Source file not found: /app/data/parquet/VISL/1D.parquet
11.04.2026 08:49:21 | ERROR    | processor                 | Error processing TENKR [1D]: Source file not found: /app/data/parquet/TENKR/1D.parquet
11.04.2026 08:49:21 | ERROR    | processor                 | Error processing GSRMU [1D]: Source file not found: /app/data/parquet/GSRMU/1D.parquet
11.04.2026 08:49:21 | ERROR    | processor                 | Error processing GBRGU [1D]: Source file not found: /app/data/parquet/GBRGU/1D.parquet
11.04.2026 08:49:21 | ERROR    | processor                 | Error processing FTII [1D]: Source file not found: /app/data/parquet/FTII/1D.parquet
11.04.2026 08:49:21 | ERROR    | processor                 | Error processing HZAC.U [1D]: Source file not found: /app/data/parquet/HZAC.U/1D.parquet
11.04.2026 08:49:21 | ERROR    | processor                 | Error processing HIII [1D]: Source file not found: /app/data/parquet/HIII/1D.parquet
11.04.2026 08:49:21 | ERROR    | processor                 | Error processing JWSMF [1D]: Source file not found: /app/data/parquet/JWSMF/1D.parquet
11.04.2026 08:49:22 | ERROR    | processor                 | Error processing OPESU [1D]: Source file not found: /app/data/parquet/OPESU/1D.parquet
11.04.2026 08:49:22 | ERROR    | processor                 | Error processing BYNO [1D]: Source file not found: /app/data/parquet/BYNO/1D.parquet
11.04.2026 08:49:22 | ERROR    | processor                 | Error processing IMPX [1D]: Source file not found: /app/data/parquet/IMPX/1D.parquet
11.04.2026 08:49:22 | ERROR    | processor                 | Error processing SVVC [1D]: Source file not found: /app/data/parquet/SVVC/1D.parquet
11.04.2026 08:49:22 | ERROR    | processor                 | Error processing EFHTR [1D]: Source file not found: /app/data/parquet/EFHTR/1D.parquet
11.04.2026 08:49:22 | ERROR    | processor                 | Error processing QK [1D]: Source file not found: /app/data/parquet/QK/1D.parquet
11.04.2026 08:49:23 | ERROR    | processor                 | Error processing VERO [1D]: Source file not found: /app/data/parquet/VERO/1D.parquet
11.04.2026 08:49:23 | ERROR    | processor                 | Error processing SSKN [1D]: Source file not found: /app/data/parquet/SSKN/1D.parquet
11.04.2026 08:49:23 | ERROR    | processor                 | Error processing OMCC [1D]: Source file not found: /app/data/parquet/OMCC/1D.parquet
11.04.2026 08:49:23 | ERROR    | processor                 | Error processing MCOM [1D]: Source file not found: /app/data/parquet/MCOM/1D.parquet
11.04.2026 08:49:24 | ERROR    | processor                 | Error processing JACS.U [1D]: Source file not found: /app/data/parquet/JACS.U/1D.parquet
11.04.2026 08:49:24 | ERROR    | processor                 | Error processing MCADR [1D]: Source file not found: /app/data/parquet/MCADR/1D.parquet
11.04.2026 08:49:24 | ERROR    | processor                 | Error processing IRS.WS [1D]: Source file not found: /app/data/parquet/IRS.WS/1D.parquet
11.04.2026 08:49:24 | ERROR    | processor                 | Error processing LEN.B [1D]: Source file not found: /app/data/parquet/LEN.B/1D.parquet
11.04.2026 08:49:24 | ERROR    | processor                 | Error processing FCRS.U [1D]: Source file not found: /app/data/parquet/FCRS.U/1D.parquet
11.04.2026 08:49:25 | ERROR    | processor                 | Error processing DISTU [1D]: Source file not found: /app/data/parquet/DISTU/1D.parquet
11.04.2026 08:49:25 | ERROR    | processor                 | Error processing AIIA.U [1D]: Source file not found: /app/data/parquet/AIIA.U/1D.parquet
11.04.2026 08:49:25 | ERROR    | processor                 | Error processing UBOH [1D]: Source file not found: /app/data/parquet/UBOH/1D.parquet
11.04.2026 08:49:25 | ERROR    | processor                 | Error processing NGEN [1D]: Source file not found: /app/data/parquet/NGEN/1D.parquet
11.04.2026 08:49:25 | ERROR    | processor                 | Error processing LTRPB [1D]: Source file not found: /app/data/parquet/LTRPB/1D.parquet
11.04.2026 08:49:25 | ERROR    | processor                 | Error processing BACQU [1D]: Source file not found: /app/data/parquet/BACQU/1D.parquet
11.04.2026 08:49:25 | ERROR    | processor                 | Error processing MTTR [1D]: Source file not found: /app/data/parquet/MTTR/1D.parquet
11.04.2026 08:49:25 | ERROR    | processor                 | Error processing ALFIQ [1D]: Source file not found: /app/data/parquet/ALFIQ/1D.parquet
11.04.2026 08:49:25 | ERROR    | processor                 | Error processing ALSTF [1D]: Source file not found: /app/data/parquet/ALSTF/1D.parquet
11.04.2026 08:49:26 | ERROR    | processor                 | Error processing NETI [1D]: Source file not found: /app/data/parquet/NETI/1D.parquet
11.04.2026 08:49:26 | ERROR    | processor                 | Error processing GETR [1D]: Source file not found: /app/data/parquet/GETR/1D.parquet
11.04.2026 08:49:26 | ERROR    | processor                 | Error processing WELUF [1D]: Source file not found: /app/data/parquet/WELUF/1D.parquet
11.04.2026 08:49:26 | ERROR    | processor                 | Error processing WW [1D]: Source file not found: /app/data/parquet/WW/1D.parquet
11.04.2026 08:49:26 | ERROR    | processor                 | Error processing HTGMQ [1D]: Source file not found: /app/data/parquet/HTGMQ/1D.parquet
11.04.2026 08:49:27 | ERROR    | processor                 | Error processing MOBQ [1D]: Source file not found: /app/data/parquet/MOBQ/1D.parquet
11.04.2026 08:49:27 | ERROR    | processor                 | Error processing AHI [1D]: Source file not found: /app/data/parquet/AHI/1D.parquet
11.04.2026 08:49:27 | ERROR    | processor                 | Error processing NMFCL [1D]: Source file not found: /app/data/parquet/NMFCL/1D.parquet
11.04.2026 08:49:27 | ERROR    | processor                 | Error processing LKCO [1D]: Source file not found: /app/data/parquet/LKCO/1D.parquet
11.04.2026 08:49:27 | ERROR    | processor                 | Error processing DTJ [1D]: Source file not found: /app/data/parquet/DTJ/1D.parquet
11.04.2026 08:49:27 | ERROR    | processor                 | Error processing DEVS [1D]: Source file not found: /app/data/parquet/DEVS/1D.parquet
11.04.2026 08:49:27 | ERROR    | processor                 | Error processing ALM [1D]: Source file not found: /app/data/parquet/ALM/1D.parquet
11.04.2026 08:49:27 | ERROR    | processor                 | Error processing CRHM [1D]: Source file not found: /app/data/parquet/CRHM/1D.parquet
11.04.2026 08:49:28 | ERROR    | processor                 | Error processing COOL [1D]: Source file not found: /app/data/parquet/COOL/1D.parquet
11.04.2026 08:49:28 | ERROR    | processor                 | Error processing SLSN [1D]: Source file not found: /app/data/parquet/SLSN/1D.parquet
11.04.2026 08:49:28 | ERROR    | processor                 | Error processing MCADU [1D]: Source file not found: /app/data/parquet/MCADU/1D.parquet
11.04.2026 08:49:28 | ERROR    | processor                 | Error processing FRBN [1D]: Source file not found: /app/data/parquet/FRBN/1D.parquet
11.04.2026 08:49:28 | ERROR    | processor                 | Error processing AGCUU [1D]: Source file not found: /app/data/parquet/AGCUU/1D.parquet
11.04.2026 08:49:29 | ERROR    | processor                 | Error processing TGAUF [1D]: Source file not found: /app/data/parquet/TGAUF/1D.parquet
11.04.2026 08:49:29 | ERROR    | processor                 | Error processing MAQCU [1D]: Source file not found: /app/data/parquet/MAQCU/1D.parquet
11.04.2026 08:49:29 | ERROR    | processor                 | Error processing LIBYU [1D]: Source file not found: /app/data/parquet/LIBYU/1D.parquet
11.04.2026 08:49:29 | ERROR    | processor                 | Error processing LEAP.U [1D]: Source file not found: /app/data/parquet/LEAP.U/1D.parquet
11.04.2026 08:49:29 | ERROR    | processor                 | Error processing XFLH.RT [1D]: Source file not found: /app/data/parquet/XFLH.RT/1D.parquet
11.04.2026 08:49:29 | ERROR    | processor                 | Error processing ZNTEU [1D]: Source file not found: /app/data/parquet/ZNTEU/1D.parquet
11.04.2026 08:49:29 | ERROR    | processor                 | Error processing LEGT.U [1D]: Source file not found: /app/data/parquet/LEGT.U/1D.parquet
11.04.2026 08:49:29 | ERROR    | processor                 | Error processing VHC [1D]: Source file not found: /app/data/parquet/VHC/1D.parquet
11.04.2026 08:49:29 | ERROR    | processor                 | Error processing MTTRU [1D]: Source file not found: /app/data/parquet/MTTRU/1D.parquet
11.04.2026 08:49:29 | ERROR    | processor                 | Error processing PJH [1D]: Source file not found: /app/data/parquet/PJH/1D.parquet
11.04.2026 08:49:29 | ERROR    | processor                 | Error processing ATEK [1D]: Source file not found: /app/data/parquet/ATEK/1D.parquet
11.04.2026 08:49:29 | ERROR    | processor                 | Error processing ASPPU [1D]: Source file not found: /app/data/parquet/ASPPU/1D.parquet
11.04.2026 08:49:29 | ERROR    | processor                 | Error processing ELMSQ [1D]: Source file not found: /app/data/parquet/ELMSQ/1D.parquet
11.04.2026 08:49:30 | ERROR    | processor                 | Error processing HUAK [1D]: Source file not found: /app/data/parquet/HUAK/1D.parquet
11.04.2026 08:49:30 | ERROR    | processor                 | Error processing CLEUF [1D]: Source file not found: /app/data/parquet/CLEUF/1D.parquet
11.04.2026 08:49:30 | ERROR    | processor                 | Error processing XLO [1D]: Source file not found: /app/data/parquet/XLO/1D.parquet
11.04.2026 08:49:30 | ERROR    | processor                 | Error processing STPC [1D]: Source file not found: /app/data/parquet/STPC/1D.parquet
11.04.2026 08:49:30 | ERROR    | processor                 | Error processing IR.WI [1D]: Source file not found: /app/data/parquet/IR.WI/1D.parquet
11.04.2026 08:49:30 | ERROR    | processor                 | Error processing BF.A [1D]: Source file not found: /app/data/parquet/BF.A/1D.parquet
11.04.2026 08:49:31 | ERROR    | processor                 | Error processing MTSR [1D]: Source file not found: /app/data/parquet/MTSR/1D.parquet
11.04.2026 08:49:31 | ERROR    | processor                 | Error processing ENSB [1D]: Source file not found: /app/data/parquet/ENSB/1D.parquet
11.04.2026 08:49:31 | ERROR    | processor                 | Error processing MRIN [1D]: Source file not found: /app/data/parquet/MRIN/1D.parquet
11.04.2026 08:49:31 | ERROR    | processor                 | Error processing DSEY [1D]: Source file not found: /app/data/parquet/DSEY/1D.parquet
11.04.2026 08:49:31 | ERROR    | processor                 | Error processing BBLN [1D]: Source file not found: /app/data/parquet/BBLN/1D.parquet
11.04.2026 08:49:31 | ERROR    | processor                 | Error processing IMPM [1D]: Source file not found: /app/data/parquet/IMPM/1D.parquet
11.04.2026 08:49:33 | ERROR    | processor                 | Error processing SPWRV [1D]: Source file not found: /app/data/parquet/SPWRV/1D.parquet
11.04.2026 08:49:33 | ERROR    | processor                 | Error processing JENA.RT [1D]: Source file not found: /app/data/parquet/JENA.RT/1D.parquet
11.04.2026 08:49:33 | ERROR    | processor                 | Error processing BRCNF [1D]: Source file not found: /app/data/parquet/BRCNF/1D.parquet
11.04.2026 08:49:33 | ERROR    | processor                 | Error processing ONDR [1D]: Source file not found: /app/data/parquet/ONDR/1D.parquet
11.04.2026 08:49:34 | ERROR    | processor                 | Error processing FSP [1D]: Source file not found: /app/data/parquet/FSP/1D.parquet
11.04.2026 08:49:34 | ERROR    | processor                 | Error processing IVAN [1D]: Source file not found: /app/data/parquet/IVAN/1D.parquet
11.04.2026 08:49:34 | ERROR    | processor                 | Error processing HLGN [1D]: Source file not found: /app/data/parquet/HLGN/1D.parquet
11.04.2026 08:49:34 | ERROR    | processor                 | Error processing CRGEQ [1D]: Source file not found: /app/data/parquet/CRGEQ/1D.parquet
11.04.2026 08:49:34 | ERROR    | processor                 | Error processing AJXA [1D]: Source file not found: /app/data/parquet/AJXA/1D.parquet
11.04.2026 08:49:34 | ERROR    | processor                 | Error processing PTHRU [1D]: Source file not found: /app/data/parquet/PTHRU/1D.parquet
11.04.2026 08:49:34 | ERROR    | processor                 | Error processing GBFH [1D]: Source file not found: /app/data/parquet/GBFH/1D.parquet
11.04.2026 08:49:35 | ERROR    | processor                 | Error processing CPE [1D]: Source file not found: /app/data/parquet/CPE/1D.parquet
11.04.2026 08:49:35 | ERROR    | processor                 | Error processing GOAI [1D]: Source file not found: /app/data/parquet/GOAI/1D.parquet
11.04.2026 08:49:35 | ERROR    | processor                 | Error processing CLVR [1D]: Source file not found: /app/data/parquet/CLVR/1D.parquet
11.04.2026 08:49:35 | ERROR    | processor                 | Error processing STNEV [1D]: Source file not found: /app/data/parquet/STNEV/1D.parquet
11.04.2026 08:49:35 | ERROR    | processor                 | Error processing BOXD [1D]: Source file not found: /app/data/parquet/BOXD/1D.parquet
11.04.2026 08:49:35 | ERROR    | processor                 | Error processing BDRLQ [1D]: Source file not found: /app/data/parquet/BDRLQ/1D.parquet
11.04.2026 08:49:35 | ERROR    | processor                 | Error processing EXTN [1D]: Source file not found: /app/data/parquet/EXTN/1D.parquet
11.04.2026 08:49:35 | ERROR    | processor                 | Error processing BSCBW [1D]: Source file not found: /app/data/parquet/BSCBW/1D.parquet
11.04.2026 08:49:35 | ERROR    | processor                 | Error processing HTLF [1D]: Source file not found: /app/data/parquet/HTLF/1D.parquet
11.04.2026 08:49:35 | ERROR    | processor                 | Error processing RFAUI [1D]: Source file not found: /app/data/parquet/RFAUI/1D.parquet
11.04.2026 08:49:36 | ERROR    | processor                 | Error processing WNNR [1D]: Source file not found: /app/data/parquet/WNNR/1D.parquet
11.04.2026 08:49:36 | ERROR    | processor                 | Error processing WRB.G [1D]: Source file not found: /app/data/parquet/WRB.G/1D.parquet
11.04.2026 08:49:36 | ERROR    | processor                 | Error processing RWODU [1D]: Source file not found: /app/data/parquet/RWODU/1D.parquet
11.04.2026 08:49:36 | ERROR    | processor                 | Error processing AVACU [1D]: Source file not found: /app/data/parquet/AVACU/1D.parquet
11.04.2026 08:49:36 | ERROR    | processor                 | Error processing IGTA [1D]: Source file not found: /app/data/parquet/IGTA/1D.parquet
11.04.2026 08:49:36 | ERROR    | processor                 | Error processing AXAC.RT [1D]: Source file not found: /app/data/parquet/AXAC.RT/1D.parquet
11.04.2026 08:49:36 | ERROR    | processor                 | Error processing BYNOU [1D]: Source file not found: /app/data/parquet/BYNOU/1D.parquet
11.04.2026 08:49:36 | ERROR    | processor                 | Error processing JATT.U [1D]: Source file not found: /app/data/parquet/JATT.U/1D.parquet
11.04.2026 08:49:36 | ERROR    | processor                 | Error processing SGBXV [1D]: Source file not found: /app/data/parquet/SGBXV/1D.parquet
11.04.2026 08:49:36 | ERROR    | processor                 | Error processing AACT.U [1D]: Source file not found: /app/data/parquet/AACT.U/1D.parquet
11.04.2026 08:49:37 | ERROR    | processor                 | Error processing ATAC [1D]: Source file not found: /app/data/parquet/ATAC/1D.parquet
11.04.2026 08:49:37 | ERROR    | processor                 | Error processing WPAC.RT [1D]: Source file not found: /app/data/parquet/WPAC.RT/1D.parquet
11.04.2026 08:49:37 | ERROR    | processor                 | Error processing JMACU [1D]: Source file not found: /app/data/parquet/JMACU/1D.parquet
11.04.2026 08:49:37 | ERROR    | processor                 | Error processing CRECU [1D]: Source file not found: /app/data/parquet/CRECU/1D.parquet
11.04.2026 08:49:37 | ERROR    | processor                 | Error processing EMO.RT [1D]: Source file not found: /app/data/parquet/EMO.RT/1D.parquet
11.04.2026 08:49:37 | ERROR    | processor                 | Error processing EFSH [1D]: Source file not found: /app/data/parquet/EFSH/1D.parquet
11.04.2026 08:49:37 | ERROR    | processor                 | Error processing DGNR.U [1D]: Source file not found: /app/data/parquet/DGNR.U/1D.parquet
11.04.2026 08:49:37 | ERROR    | processor                 | Error processing SCPX [1D]: Source file not found: /app/data/parquet/SCPX/1D.parquet
11.04.2026 08:49:38 | ERROR    | processor                 | Error processing CIMG [1D]: Source file not found: /app/data/parquet/CIMG/1D.parquet
11.04.2026 08:49:38 | ERROR    | processor                 | Error processing QHC [1D]: Source file not found: /app/data/parquet/QHC/1D.parquet
11.04.2026 08:49:38 | ERROR    | processor                 | Error processing ENNVW [1D]: Source file not found: /app/data/parquet/ENNVW/1D.parquet
11.04.2026 08:49:38 | ERROR    | processor                 | Error processing GDSTR [1D]: Source file not found: /app/data/parquet/GDSTR/1D.parquet
11.04.2026 08:49:38 | ERROR    | processor                 | Error processing QFTA [1D]: Source file not found: /app/data/parquet/QFTA/1D.parquet
11.04.2026 08:49:38 | ERROR    | processor                 | Error processing PTPI [1D]: Source file not found: /app/data/parquet/PTPI/1D.parquet
11.04.2026 08:49:38 | ERROR    | processor                 | Error processing NHS.RT.WI [1D]: Source file not found: /app/data/parquet/NHS.RT.WI/1D.parquet
11.04.2026 08:49:39 | ERROR    | processor                 | Error processing VSAC [1D]: Source file not found: /app/data/parquet/VSAC/1D.parquet
11.04.2026 08:49:39 | ERROR    | processor                 | Error processing ENFY [1D]: Source file not found: /app/data/parquet/ENFY/1D.parquet
11.04.2026 08:49:39 | ERROR    | processor                 | Error processing HPCO [1D]: Source file not found: /app/data/parquet/HPCO/1D.parquet
11.04.2026 08:49:39 | ERROR    | processor                 | Error processing TTSH [1D]: Source file not found: /app/data/parquet/TTSH/1D.parquet
11.04.2026 08:49:39 | ERROR    | processor                 | Error processing GHSI [1D]: Source file not found: /app/data/parquet/GHSI/1D.parquet
11.04.2026 08:49:39 | ERROR    | processor                 | Error processing CODX [1D]: Source file not found: /app/data/parquet/CODX/1D.parquet
11.04.2026 08:49:39 | ERROR    | processor                 | Error processing CLAQR [1D]: Source file not found: /app/data/parquet/CLAQR/1D.parquet
11.04.2026 08:49:39 | ERROR    | processor                 | Error processing SQM.RT [1D]: Source file not found: /app/data/parquet/SQM.RT/1D.parquet
11.04.2026 08:49:39 | ERROR    | processor                 | Error processing AFIIQ [1D]: Source file not found: /app/data/parquet/AFIIQ/1D.parquet
11.04.2026 08:49:39 | ERROR    | processor                 | Error processing CHNGV [1D]: Source file not found: /app/data/parquet/CHNGV/1D.parquet
